total_2_1edge,total_2_indep,total_3_tris,total_2_star,total_3_1edge,total_3_indep,total_4_clique,total_4_chordcycle,total_4_tailed_tris,total_4_cycle,total_3_star,total_4_path,total_4_1edge,total_4_2edge,total_4_2star,total_4_tri,total_4_indep,filename
117,6324,0,519,12066,227879,0,0,0,7,2504,2034,613190,4219,46001,0,6004921,./motifs/104.motifcount
114,6214,0,476,11702,221958,0,0,0,3,1986,1939,591119,4020,42512,0,5797161,./motifs/105.motifcount
114,6102,1,1206,10125,216588,0,0,3,1,17309,2513,469220,2714,74491,106,5644463,./motifs/106.motifcount
113,6103,0,974,10482,216464,0,0,0,2,10796,2728,494983,2622,68314,0,5631375,./motifs/107.motifcount
124,5981,6,506,12486,208817,0,3,11,16,2717,1712,617917,5341,42981,631,5317676,./motifs/108.motifcount
148,5957,8,496,15116,206195,0,4,31,63,1556,1385,750202,8808,45808,825,5180323,./motifs/109.motifcount
110,5995,0,486,11018,210311,0,0,0,0,2055,1893,543310,3616,42537,0,5395594,./motifs/110.motifcount
107,5458,2,705,9712,182501,0,1,1,0,3986,1428,433580,3529,57797,203,4467165,./motifs/111.motifcount
203,5153,0,10302,102,171700,0,0,0,5050,338350,101,0,0,5050,0,4249575,./motifs/112.motifcount
103,5253,0,5253,0,176851,0,0,0,0,176851,0,0,0,0,0,4421275,./motifs/113.motifcount
102,5151,0,5151,0,171700,0,0,0,0,171700,0,0,0,0,0,4249575,./motifs/114.motifcount
101,5050,0,5050,0,166650,0,0,0,0,166650,0,0,0,0,0,4082925,./motifs/115.motifcount
101,5050,0,4756,588,166356,0,0,0,0,152096,195,14547,99,14166,0,4068472,./motifs/116.motifcount
114,4936,0,620,10046,155984,0,0,0,19,4607,1453,438184,4330,43957,0,3590375,./motifs/117.motifcount
100,4950,0,4950,0,161700,0,0,0,0,161700,0,0,0,0,0,3921225,./motifs/118.motifcount
99,4851,0,4754,194,156752,0,0,0,0,152096,97,4656,0,4656,0,3759720,./motifs/119.motifcount
99,4851,0,4284,1134,156282,0,0,0,0,129766,279,28452,288,25692,0,3736748,./motifs/120.motifcount
328,4622,871,2615,24301,133913,3110,0,3703,222,32190,7308,877518,27615,134175,68344,2767040,./motifs/121.motifcount
111,4642,8,497,9638,141953,0,4,28,6,2751,1699,411856,3837,35476,724,3155899,./motifs/122.motifcount
96,4560,0,4560,0,142880,0,0,0,0,142880,0,0,0,0,0,3321960,./motifs/123.motifcount
153,4503,34,426,13581,133399,0,17,102,78,920,1065,578511,9743,34604,3060,2836740,./motifs/124.motifcount
96,4464,0,413,8198,134269,0,0,0,1,1716,1539,344277,2606,30179,0,2941642,./motifs/125.motifcount
95,4465,0,441,8048,134391,0,0,0,0,1988,1552,335791,2472,31945,0,2948212,./motifs/126.motifcount
97,4463,2,4103,906,137869,0,0,6,0,121489,360,24754,181,16380,180,3158610,./motifs/127.motifcount
98,4367,2,396,8316,129701,0,1,2,2,2329,1040,347268,3303,27351,180,2802069,./motifs/128.motifcount
119,4346,2,447,10167,127799,0,0,9,20,1272,1309,421094,5210,34592,175,2719864,./motifs/129.motifcount
94,4371,0,4371,0,134044,0,0,0,0,134044,0,0,0,0,0,3049501,./motifs/130.motifcount
94,4371,0,465,7812,130138,0,0,0,0,1794,1370,318252,2536,34658,0,2824935,./motifs/131.motifcount
93,4185,0,3341,1781,124644,0,0,0,0,88570,817,45742,120,33346,0,2751140,./motifs/132.motifcount
91,4004,0,1031,6037,114417,0,0,0,1,13305,1988,214659,1074,46833,0,2394810,./motifs/133.motifcount
89,3916,0,3916,0,113564,0,0,0,0,113564,0,0,0,0,0,2441626,./motifs/134.motifcount
87,3741,0,317,6848,102571,0,0,0,0,735,999,262449,2425,22742,0,2042540,./motifs/135.motifcount
86,3655,0,392,6526,99077,0,0,0,0,1387,1054,241961,2209,26659,0,1952625,./motifs/136.motifcount
86,3655,0,2636,2038,101321,0,0,0,0,59926,95,42197,924,41456,0,2081297,./motifs/137.motifcount
89,3652,0,375,6815,98805,0,0,0,3,1849,1236,256927,2299,23469,0,1940112,./motifs/138.motifcount
101,3554,0,568,7348,94424,0,0,0,73,1823,1536,259495,2800,38311,0,1819517,./motifs/139.motifcount
85,3570,0,370,6400,95570,0,0,0,0,1490,1280,236800,1920,23680,0,1858385,./motifs/140.motifcount
84,3486,0,791,5390,92589,0,0,0,0,9144,1673,183189,1022,34084,0,1795673,./motifs/141.motifcount
84,3486,0,755,5462,92553,0,0,0,0,8442,1597,186687,1134,33390,0,1793535,./motifs/142.motifcount
84,3486,0,3404,164,95202,0,0,0,0,91881,82,3321,0,3321,0,1926180,./motifs/143.motifcount
86,3400,0,311,6430,88543,0,0,0,6,854,1044,234278,2288,20517,0,1670514,./motifs/144.motifcount
83,3403,0,403,6000,88881,0,0,0,0,1921,1320,214080,1680,24240,0,1686260,./motifs/145.motifcount
83,3403,0,3322,162,91800,0,0,0,0,88560,81,3240,0,3240,0,1834380,./motifs/146.motifcount
127,3194,2,2061,6032,80465,0,1,2,946,26753,2525,158761,1513,73720,154,1484685,./motifs/147.motifcount
81,3240,0,3240,0,85320,0,0,0,0,85320,0,0,0,0,0,1663740,./motifs/148.motifcount
82,3158,0,468,5542,79310,0,0,0,2,3031,1280,186877,1569,24843,0,1446138,./motifs/149.motifcount
81,3159,0,413,5573,79334,0,0,0,1,2405,1278,190536,1547,22439,0,1445534,./motifs/150.motifcount
97,2984,7,324,6800,71948,0,5,9,23,801,1007,230054,3239,20087,513,1246763,./motifs/151.motifcount
78,3003,0,2853,300,75926,0,0,0,0,70301,150,5625,0,5625,0,1420800,./motifs/152.motifcount
78,3003,0,394,5218,73467,0,0,0,0,2127,1223,173172,1386,21117,0,1303476,./motifs/153.motifcount
77,2926,0,271,5310,70495,0,0,0,0,710,915,178365,1740,16365,0,1228330,./motifs/154.motifcount
86,2917,0,666,5204,70206,0,0,0,45,5306,1284,159352,1615,31284,0,1227539,./motifs/155.motifcount
76,2850,0,2850,0,70300,0,0,0,0,70300,0,0,0,0,0,1282975,./motifs/156.motifcount
76,2850,0,2354,992,69804,0,0,0,0,52395,410,19931,86,16191,0,1264262,./motifs/157.motifcount
76,2850,0,306,5088,67756,0,0,0,0,1099,1009,166848,1535,17329,0,1165455,./motifs/158.motifcount
78,2848,0,332,5186,67632,0,0,0,3,1290,1092,169142,1573,18502,0,1161673,./motifs/159.motifcount
77,2849,0,461,4853,67836,0,0,0,1,2756,1282,152639,1181,23278,0,1172138,./motifs/160.motifcount
75,2775,0,2775,0,67525,0,0,0,0,67525,0,0,0,0,0,1215450,./motifs/161.motifcount
83,2692,0,266,5527,61732,0,0,0,8,998,638,178518,2483,14850,0,1017955,./motifs/162.motifcount
85,2690,9,222,5734,61560,0,3,16,2,701,558,186726,2737,12719,626,1011362,./motifs/163.motifcount
73,2628,0,1347,2562,60915,0,0,0,0,22100,1071,62265,210,27195,0,1037785,./motifs/164.motifcount
81,2620,1,318,5193,59312,0,0,5,18,1018,831,161545,2047,17780,66,967316,./motifs/165.motifcount
73,2628,0,2232,792,61800,0,0,0,0,47940,396,13860,0,13860,0,1074570,./motifs/166.motifcount
76,2625,2,295,4876,59651,0,1,3,2,983,893,152510,1647,16194,137,978256,./motifs/167.motifcount
72,2556,0,2556,0,59640,0,0,0,0,59640,0,0,0,0,0,1028790,./motifs/168.motifcount
105,2523,0,1234,4987,55975,0,0,0,561,12014,2379,127380,725,43336,0,902035,./motifs/169.motifcount
79,2549,2,317,4969,56908,0,1,1,6,1460,707,152562,2036,16368,137,915152,./motifs/170.motifcount
74,2554,0,1343,2568,58285,0,0,0,3,20953,538,57651,814,30063,0,978408,./motifs/171.motifcount
72,2556,0,2556,0,59640,0,0,0,0,59640,0,0,0,0,0,1028790,./motifs/172.motifcount
92,2536,7,280,5951,55958,0,5,14,12,863,743,185209,3094,15439,466,882585,./motifs/173.motifcount
72,2556,0,2556,0,59640,0,0,0,0,59640,0,0,0,0,0,1028790,./motifs/174.motifcount
80,2476,3,225,5141,54271,0,0,18,9,607,558,159334,2332,12516,189,853227,./motifs/175.motifcount
91,2465,8,638,5070,53924,2,6,59,10,5055,975,141742,2361,26737,473,851370,./motifs/176.motifcount
78,2478,0,343,4774,54523,0,0,0,4,1819,704,143317,1948,16786,0,864212,./motifs/177.motifcount
81,2475,0,824,4022,54794,0,0,0,46,7162,1168,102429,1156,32850,0,883979,./motifs/178.motifcount
78,2478,0,375,4710,54555,0,0,0,15,967,794,136767,1804,21326,0,867117,./motifs/179.motifcount
70,2415,0,2415,0,54740,0,0,0,0,54740,0,0,0,0,0,916895,./motifs/180.motifcount
69,2346,0,251,4190,50299,0,0,0,0,690,795,123813,1300,13157,0,777140,./motifs/181.motifcount
68,2278,0,2278,0,50116,0,0,0,0,50116,0,0,0,0,0,814385,./motifs/182.motifcount
71,2275,0,253,4251,47890,0,0,0,6,684,755,123486,1465,13112,0,724993,./motifs/183.motifcount
67,2211,0,475,3472,46169,0,0,0,0,3697,1064,92776,672,17656,0,698520,./motifs/184.motifcount
91,2120,19,223,5412,42251,0,10,20,7,689,579,153508,3182,10959,1176,596350,./motifs/185.motifcount
66,2145,0,411,3468,44026,0,0,0,0,1750,406,87672,1328,20242,0,655082,./motifs/186.motifcount
66,2145,0,263,3764,43878,0,0,0,0,928,804,105048,1078,12440,0,646182,./motifs/187.motifcount
71,2140,0,222,4171,43512,0,0,0,5,579,542,118141,1711,11367,0,634135,./motifs/188.motifcount
66,2145,0,231,3828,43846,0,0,0,0,579,714,107763,1200,11619,0,644605,./motifs/189.motifcount
67,2144,0,220,3915,43770,0,0,0,1,488,667,110691,1322,11278,0,642033,./motifs/190.motifcount
85,2060,0,589,4262,40909,0,0,0,210,2962,1537,106361,1024,24307,0,584319,./motifs/191.motifcount
66,2079,0,270,3684,41806,0,0,0,1,689,679,99398,1194,13581,0,605178,./motifs/192.motifcount
71,2009,0,294,3885,39501,0,0,0,8,1368,633,103892,1542,12826,0,556771,./motifs/193.motifcount
64,2016,0,499,3034,40147,0,0,0,0,4496,961,76453,556,15528,0,579046,./motifs/194.motifcount
64,2016,0,2016,0,41664,0,0,0,0,41664,0,0,0,0,0,635376,./motifs/195.motifcount
79,2001,4,217,4531,38928,0,2,10,15,585,510,124404,2298,10595,234,538387,./motifs/196.motifcount
64,2016,0,2016,0,41664,0,0,0,0,41664,0,0,0,0,0,635376,./motifs/197.motifcount
87,1993,16,251,4931,38482,1,14,23,14,672,588,133072,2772,12240,937,526707,./motifs/198.motifcount
64,2016,0,278,3476,39926,0,0,0,0,892,741,91943,997,13078,0,569389,./motifs/199.motifcount
64,2016,0,213,3606,39861,0,0,0,0,436,612,98118,1191,10674,0,566009,./motifs/200.motifcount
77,1939,9,429,3889,37337,0,6,26,9,2945,662,97759,1752,15910,511,515796,./motifs/201.motifcount
130,1886,165,1051,5463,34985,330,0,945,22,10114,1685,117993,3175,28421,7800,464891,./motifs/202.motifcount
63,1953,0,1953,0,39711,0,0,0,0,39711,0,0,0,0,0,595665,./motifs/203.motifcount
69,1947,4,233,3800,37627,0,2,8,2,982,495,101624,1590,10249,232,520192,./motifs/204.motifcount
63,1953,0,1953,0,39711,0,0,0,0,39711,0,0,0,0,0,595665,./motifs/205.motifcount
68,1948,0,504,3208,37952,0,0,0,6,2679,327,72618,1435,22029,0,536282,./motifs/206.motifcount
86,1930,18,175,4928,36543,0,9,59,15,171,308,133063,3011,9350,1021,488369,./motifs/207.motifcount
62,1891,0,1891,0,37820,0,0,0,0,37820,0,0,0,0,0,557845,./motifs/208.motifcount
61,1830,0,1830,0,35990,0,0,0,0,35990,0,0,0,0,0,521855,./motifs/209.motifcount
67,1824,0,328,3364,34128,0,0,0,9,1337,897,82894,968,13511,0,458229,./motifs/210.motifcount
62,1829,0,682,2356,34782,0,0,0,1,7182,752,50656,455,17184,0,481615,./motifs/211.motifcount
